Utility,ZIP Code,EVs on the Road
Consolidated Edison Company,10001,41
Consolidated Edison Company,10002,32
Consolidated Edison Company,10003,69
Consolidated Edison Company,10004,70
Consolidated Edison Company,10005,14
Consolidated Edison Company,10006,9
Consolidated Edison Company,10007,153
Consolidated Edison Company,10009,16
Consolidated Edison Company,10010,42
Consolidated Edison Company,10011,91
Consolidated Edison Company,10012,46
Consolidated Edison Company,10013,111
Consolidated Edison Company,10014,68
Consolidated Edison Company,10016,42
Consolidated Edison Company,10017,17
Consolidated Edison Company,10018,22
Consolidated Edison Company,10019,41
Consolidated Edison Company,10021,70
Consolidated Edison Company,10022,51
Consolidated Edison Company,10023,90
Consolidated Edison Company,10024,73
Consolidated Edison Company,10025,52
Consolidated Edison Company,10026,6
Consolidated Edison Company,10027,15
Consolidated Edison Company,10028,74
Consolidated Edison Company,10029,10
Consolidated Edison Company,10030,4
Consolidated Edison Company,10031,8
Consolidated Edison Company,10032,8
Consolidated Edison Company,10033,6
Consolidated Edison Company,10034,6
Consolidated Edison Company,10035,206
Consolidated Edison Company,10036,23
Consolidated Edison Company,10037,5
Consolidated Edison Company,10038,78
Consolidated Edison Company,10039,4
Consolidated Edison Company,10040,4
Consolidated Edison Company,10043,1
Consolidated Edison Company,10044,8
Consolidated Edison Company,10065,50
Consolidated Edison Company,10069,17
Consolidated Edison Company,10075,40
Consolidated Edison Company,10101,1
Consolidated Edison Company,10105,1
Consolidated Edison Company,10106,1
Consolidated Edison Company,10107,2
Consolidated Edison Company,10118,1
Consolidated Edison Company,10120,1
Consolidated Edison Company,10123,1
Consolidated Edison Company,10128,70
Consolidated Edison Company,10150,1
Consolidated Edison Company,10151,1
Consolidated Edison Company,10152,1
Consolidated Edison Company,10153,1
Consolidated Edison Company,10155,1
Consolidated Edison Company,10163,1
Consolidated Edison Company,10165,1
Consolidated Edison Company,10166,1
Consolidated Edison Company,10168,1
Consolidated Edison Company,10169,1
Consolidated Edison Company,10170,2
Consolidated Edison Company,10173,1
Consolidated Edison Company,10177,1
Consolidated Edison Company,10185,1
Consolidated Edison Company,10280,10
Consolidated Edison Company,10282,18
Consolidated Edison Company,10301,48
Consolidated Edison Company,10302,11
Consolidated Edison Company,10303,13
Consolidated Edison Company,10304,50
Consolidated Edison Company,10305,34
Consolidated Edison Company,10306,60
Consolidated Edison Company,10307,16
Consolidated Edison Company,10308,26
Consolidated Edison Company,10309,45
Consolidated Edison Company,10310,22
Consolidated Edison Company,10312,78
Consolidated Edison Company,10314,79
Consolidated Edison Company,10451,1
Consolidated Edison Company,10452,1
Consolidated Edison Company,10453,5
Consolidated Edison Company,10454,2
Consolidated Edison Company,10455,17
Consolidated Edison Company,10456,5
Consolidated Edison Company,10457,5
Consolidated Edison Company,10458,10
Consolidated Edison Company,10459,1
Consolidated Edison Company,10460,7
Consolidated Edison Company,10461,13
Consolidated Edison Company,10462,15
Consolidated Edison Company,10463,25
Consolidated Edison Company,10464,4
Consolidated Edison Company,10465,26
Consolidated Edison Company,10466,8
Consolidated Edison Company,10467,15
Consolidated Edison Company,10468,2
Consolidated Edison Company,10469,17
Consolidated Edison Company,10470,3
Consolidated Edison Company,10471,34
Consolidated Edison Company,10472,9
Consolidated Edison Company,10473,7
Consolidated Edison Company,10474,55
Consolidated Edison Company,10475,8
New York State Electric & Gas Corporation,10501,3
Consolidated Edison Company,10502,32
Consolidated Edison Company,10504,94
New York State Electric & Gas Corporation,10505,3
Consolidated Edison Company,10506,58
Consolidated Edison Company,10507,25
New York State Electric & Gas Corporation,10509,22
Consolidated Edison Company,10510,69
Consolidated Edison Company,10511,2
New York State Electric & Gas Corporation,10512,39
Consolidated Edison Company,10514,142
Central Hudson Gas & Electric Corporation,10516,22
Consolidated Edison Company,10517,1
New York State Electric & Gas Corporation,10518,5
New York State Electric & Gas Corporation,10519,1
Consolidated Edison Company,10520,63
Consolidated Edison Company,10521,1
Consolidated Edison Company,10522,53
Consolidated Edison Company,10523,22
Central Hudson Gas & Electric Corporation,10524,32
New York State Electric & Gas Corporation,10526,7
New York State Electric & Gas Corporation,10527,1
Consolidated Edison Company,10528,69
Consolidated Edison Company,10530,39
Consolidated Edison Company,10532,7
Consolidated Edison Company,10533,56
New York State Electric & Gas Corporation,10535,1
New York State Electric & Gas Corporation,10536,82
New York State Electric & Gas Corporation,10537,2
Consolidated Edison Company,10538,134
New York State Electric & Gas Corporation,10541,39
